title,price,total_price,year,mileage,link
TOYOTA Raum,"Price $1,840","Total Price $3,737 C&F Mombasa (RORO)",Year: 2003 / 6,"Mileage: 75,335 km",https://image-cdn.beforward.jp/medium/202406/7948168/BT547202_f9e806.jpg?w=200
TOYOTA Wish,"Price $2,310","Total Price $4,527 C&F Mombasa (RORO)",Year: 2003 / 12,"Mileage: 75,528 km",https://image-cdn.beforward.jp/medium/202406/7948597/BT547294_1e5eba.jpg?w=200
AUDI A4,"Price $4,590","Total Price $6,778 C&F Mombasa (RORO)",Year: 2015 / 11,"Mileage: 102,032 km",https://image-cdn.beforward.jp/medium/202406/7916798/BT526890_f752e6.jpg?w=200
VOLKSWAGEN Tiguan,"Price $4,390","Total Price $6,749 C&F Mombasa (RORO)",Year: 2011 / 10,"Mileage: 75,620 km",https://image-cdn.beforward.jp/medium/202406/7916773/BT526911_b8207b.jpg?w=200
ISUZU Elf Truck,"Price $6,200","Total Price $8,847 C&F Mombasa (RORO)",Year: 2014 / 5,"Mileage: 255,000 km",https://image-cdn.beforward.jp/medium/202406/7923380/BT533459_abd860.jpg?w=200
MITSUBISHI Canter,"Price $4,590","Total Price $7,248 C&F Mombasa (RORO)",Year: 2005 / 2,"Mileage: 528,000 km",https://image-cdn.beforward.jp/medium/202406/7923404/BT533460_245333.jpg?w=200
TOYOTA Vanguard,"Price $4,920","Total Price $7,255 C&F Mombasa (RORO)",Year: 2010 / 8,"Mileage: 108,352 km",https://image-cdn.beforward.jp/medium/202406/7923372/BT533620_9e479c.jpg?w=200
TOYOTA Sienta,"Price $1,640","Total Price $3,680 C&F Mombasa (RORO)",Year: 2005 / 8,"Mileage: 76,778 km",https://image-cdn.beforward.jp/medium/202406/7924400/BT533873_568b8f.JPG?w=200
TOYOTA Vanguard,"Price $6,400","Total Price $8,793 C&F Mombasa (RORO)",Year: 2013 / 1,"Mileage: 94,886 km",https://image-cdn.beforward.jp/medium/202406/7916712/BT526906_336a6f.jpg?w=200
SUBARU Impreza Sports,"Price $3,620","Total Price $5,674 C&F Mombasa (RORO)",Year: 2017 / 3,"Mileage: 178,585 km",https://image-cdn.beforward.jp/medium/202406/7924340/BT534001_a1e518.JPG?w=200
BMW 3 Series,"Price $5,160","Total Price $7,463 C&F Mombasa (RORO)",Year: 2016 / 4,"Mileage: 96,075 km",https://image-cdn.beforward.jp/medium/202406/7948890/BT547097_d60816.jpg?w=200
HONDA Crossroad,"Price $2,240","Total Price $4,440 C&F Mombasa (RORO)",Year: 2007 / 4,"Mileage: 155,379 km",https://image-cdn.beforward.jp/medium/202406/7947945/BT547120_b79d35.jpg?w=200
NISSAN X-Trail Hybrid,"Price $7,170","Total Price $9,710 C&F Mombasa (RORO)",Year: 2017 / 7,"Mileage: 120,284 km",https://image-cdn.beforward.jp/medium/202406/7949440/BT547334_188568.jpg?w=200
TOYOTA Alphard,"Price $2,410","Total Price $5,160 C&F Mombasa (RORO)",Year: 2007 / 6,"Mileage: 103,449 km",https://image-cdn.beforward.jp/medium/202406/7948881/BT547388_e5e1f4.jpg?w=200
MITSUBISHI Canter,"Price $7,470","Total Price $10,091 C&F Mombasa (RORO)",Year: 1992 / 3,"Mileage: 131,508 km",https://image-cdn.beforward.jp/medium/202406/7948452/BT547481_37382c.JPG?w=200
LEXUS LS,"Price $4,020","Total Price $6,392 C&F Mombasa (RORO)",Year: 2009 / 10,"Mileage: 132,305 km",https://image-cdn.beforward.jp/medium/202406/7946486/BT547515_eba0d7.JPG?w=200
TOYOTA Corolla Fielder,"Price $4,690","Total Price $6,756 C&F Mombasa (RORO)",Year: 2016 / 4,"Mileage: 244,374 km",https://image-cdn.beforward.jp/medium/202406/7923647/BT533684_7ff33c.jpg?w=200
TOYOTA Allion,"Price $3,750","Total Price $5,806 C&F Mombasa (RORO)",Year: 2008 / 9,"Mileage: 150,415 km",https://image-cdn.beforward.jp/medium/202406/7924729/BT534008_a14b15.JPG?w=200
TOYOTA Hiace Commuter,"Price $6,970","Total Price $9,945 C&F Mombasa (RORO)",Year: 2000 / 8,"Mileage: 123,744 km",https://image-cdn.beforward.jp/medium/202406/7944417/BT544001_ce8f04.jpg?w=200
